,titles,category
0,셀트리온    시밀러 출시 가속페달   년  종  년  종 ,Economy
1,설 차례상 물가 역대 최고치  또  경신   만   만원,Economy
2,진양곤 회장      년 간암 치료제 시장점유율     매출  조 목표 ,Economy
3,스튜디오삼익  공모가  만    원 확정 경쟁률    대  ,Economy
4, 새해 첫 상장  우진엔텍   따따블  성공했다  증시이슈 ,Economy
5, 단독 롯데쇼핑  수원 영통에   층 시니어 레지던스 짓는다,Economy
6,수도권 부촌 관통하는 신분당선  수원 이목지구 지날까     디에트르  분양 소식 눈길,Economy
7,단통법 폐지되면 갤럭시     진짜  싸질까  반응은  글쎄 ,Economy
8, 김대호의 경제읽기  벼랑 끝 내몰린 건설업계 부도 분양보증 사고 급증,Economy
9, 카카오의   엔터 인수        년 자본시장 가장 뜨겁게 달군 이슈  넘버스 ,Economy
10,작년 폐기된 돈 얼마길래 쌓아보면  에베레스트산   배 ,Economy
11, 무등의 아침   강기정 시장  중앙공원  지구 선분양 입장 선회 치솟는 분양가는 결국 시민 부담 ,Economy
12, 자사주 취득 줄고  소각 늘고    셀트리온 취득  위  권영훈의 증시뉴스      ,Economy
13,내일부터 청년희망적금 청년도약계좌 연계가입  중도해지 해도 비과세 ,Economy
14, 발길이 떨어지질 않네   스타필드 수원    고객 잡을까 르포 ,Economy
15,스튜디오삼익  공모가  만    원 확정 희망밴드 상단 초과,Economy
16,쎌바이오텍  올해 대장암 치료제 임상 상     승인 목표 ,Economy
17,올해 첫 상장 우진엔텍  따따블      증권  연타석 흥행 기록,Economy
18,김주현도 증권사    에 쓴소리    위탁매매 부동산 중심 영업관행에서 벗어나야 ,Economy
19, 할인 불가 외담대 만기까지 늘려  태영 납품업체들  돈맥경화 ,Economy
20, 소액생계비 받으러 갔다가 취업까지  금융 고용 복합지원 나선다,Economy
21, 실패하면 책임 물을 것  이복현 경고장에 증권사      초긴장 ,Economy
22,스튜디오삼익  공모가 상단 초과  만    원 확정   일부터 일반청약,Economy
23,   세권 에는 이유가 있다  다세권 아파트  흥행 ,Economy
24,기대인플레   개월 만에 최저     금리 하락  기대도 쑥 ,Economy
25,대한전선  해저케이블 사업 해외 생산공장 인수에  조원 투입,Economy
26,대출 고용 잇는다 서민금융 이용자   만명에 일자리 지원,Economy
27,금감원장     리스크 관리 실패 시 엄중 책임 물을 것 ,Economy
28, 단독    곳 중  곳 적자  부실채권율 은행의   배     등급 금고도 안심 못해,Economy
29,서민금융 이용자   만명에 일자리 연계  월부터 복합 지원 개시,Economy
30,서민금융 이용하고 일자리도 챙긴다    만명 고용연계 ,Economy
31,청년희망적금 만기 도약계좌 갈아타기 내일부터  신청 ,Economy
32,서민금융 대출시 일자리 상담까지  금융 고용 한꺼번에 지원 ,Economy
33,단통법 전    조  영업익  조 시대 저물 수도 ,Economy
34,광주 전남 건설업계 벼랑끝 위기  곳 또 법정관리,Economy
35,셀트리온  우시    와     신약 개발 맞손   개 품목      ,Economy
36,호화 이사회 논란에도 포스코     후추위   숏리스트  후보군 확정,Economy
37,넷플릭스 가입자 수 깜짝 증가에 영상 콘텐츠  강세  증시이슈 ,Economy
38,현대카드  가수 장범준 공연 티켓 전량    로 발행  암표없는 공연 만든다 ,Economy
39, 역대급  복합쇼핑몰이 온다 스타필드 수원   일 그랜드오픈 종합 ,Economy
40, 단독    억 분양 강남 집이 반지하였다    억 비싼  층 테라스에 무슨일이   부동산    ,Economy
41,경계현 사장  모든 곳에    근본 변화 대응에 최선 ,Economy
42, 가동할수록 손해  석유화학 불황에    공장 존재감 타격,Economy
43, 중대재해법      정부 중소기업계 유예 한목소리,Economy
44,분양가 계속 오른다   지금이  타이밍 ,Economy
45, 마켓      파산신청  남발에 멈춰선 코스닥 상장사 제도 악용하는 세력 등장,Economy
46,에코프로머티 바닥 찍고 반등하나  거래일 만에 상승세,Economy
47,     초대형 컨테이너선  가닛호  명명식 다음달 미 항로 투입,Economy
48,토스뱅크 외화통장  출시  일 만에   만 좌 돌파,Economy
49,      만       급 컨선      가닛호  명명식,Economy
50,이복현 금감원장  새 살 돋으려면 굳은살 벗겨야 ,Economy
51,전체 교통요금은 올리고 일부 사용자만 환급   이미연의 발로 뛰는 부동산 ,Economy
52, 줄파산  악몽이 또 하도급 업체  돈 못 받았다  태영건설  후폭풍 ,Economy
53,     차   인터넷은행    조원 전세대출 대환서 시중은행과 한판승부,Economy
54,공정위  플랫폼 독과점시 경쟁질서 회복 불가능 국내기업 역차별  거짓뉴스 ,Economy
55,저축은행 연체채권 매각채널 확대  연체율 관리 개선 ,Economy
56,이복현  부동산    굳은살 벗겨내야  건설 금융사 노이즈 감내 ,Economy
57,검찰   흉기로 아내 살해   대 징역   년 너무 가볍다  항소,Economy
58,디파이      달새         억 달러도  터치 ,Economy
59,판매 부진 제네시스  해외 브랜드 맞설 전기차 출시는 언제 ,Economy
